sample	file_name	type	day
C9009-d21-M_R1	NS.2055.002.IDT_i7_152---IDT_i5_152.C9009-d21-M_R1	milk	21
C9009-d21-M_R2	NS.2055.002.IDT_i7_152---IDT_i5_152.C9009-d21-M_R2	milk	21
C9009-d21-WRC_R1	NS.2055.003.IDT_i7_68---IDT_i5_68.C9009-d21-WRC_R1	rumen	21
C9009-d21-WRC_R2	NS.2055.003.IDT_i7_68---IDT_i5_68.C9009-d21-WRC_R2	rumen	21
C9009-d28-M_R1	NS.2055.002.IDT_i7_26---IDT_i5_26.C9009-d28-M_R1	milk	28
C9009-d28-M_R2	NS.2055.002.IDT_i7_26---IDT_i5_26.C9009-d28-M_R2	milk	28
C9009-d28-WRC_R1	NS.2055.003.IDT_i7_9---IDT_i5_9.C9009-d28-WRC_R1	rumen	28
C9009-d28-WRC_R2	NS.2055.003.IDT_i7_9---IDT_i5_9.C9009-d28-WRC_R2	rumen	28
C9009-d2-M_R1	NS.2055.002.IDT_i7_3---IDT_i5_3.C9009-d2-M_R1	milk	2
C9009-d2-M_R2	NS.2055.002.IDT_i7_3---IDT_i5_3.C9009-d2-M_R2	milk	2
C9009-d2-WRC_R1	NS.2055.003.IDT_i7_278---IDT_i5_278.C9009-d2-WRC_R1	rumen	2
C9009-d2-WRC_R2	NS.2055.003.IDT_i7_278---IDT_i5_278.C9009-d2-WRC_R2	rumen	2
C9009-d7-M_R1	NS.2055.002.IDT_i7_139---IDT_i5_139.C9009-d7-M_R1	milk	7
C9009-d7-M_R2	NS.2055.002.IDT_i7_139---IDT_i5_139.C9009-d7-M_R2	milk	7
C9009-d7-WRC_R1	NS.2055.003.IDT_i7_55---IDT_i5_55.C9009-d7-WRC_R1	rumen	7
C9009-d7-WRC_R2	NS.2055.003.IDT_i7_55---IDT_i5_55.C9009-d7-WRC_R2	rumen	7
sample	file_name	type	day
